#Name;Title;Emulator;CloneOf;Year;Manufacturer;Category;Players;Rotation;Control;Status;DisplayCount;DisplayType;AltRomname;AltTitle;Extra;Buttons
1941;1941;Arcade;;;;;;;;;;;;;;
1942;1942;Arcade;;;;;;;;;;;;;;
1943;1943;Arcade;;;;;;;;;;;;;;
1943kai;1943kai;Arcade;;;;;;;;;;;;;;
1943mii;1943mii;Arcade;;;;;;;;;;;;;;
1944;1944;Arcade;;;;;;;;;;;;;;
1945kiii;1945kiii;Arcade;;;;;;;;;;;;;;
19xx;19xx;Arcade;;;;;;;;;;;;;;
3wonders;3wonders;Arcade;;;;;;;;;;;;;;
64street;64street;Arcade;;;;;;;;;;;;;;
720;720;Arcade;;;;;;;;;;;;;;
88games;88games;Arcade;;;;;;;;;;;;;;
aburner2;aburner2;Arcade;;;;;;;;;;;;;;
acrobatm;acrobatm;Arcade;;;;;;;;;;;;;;
actfancr;actfancr;Arcade;;;;;;;;;;;;;;
actionhw;actionhw;Arcade;;;;;;;;;;;;;;
aerofgt;aerofgt;Arcade;;;;;;;;;;;;;;
afighter;afighter;Arcade;;;;;;;;;;;;;;
agallet;agallet;Arcade;;;;;;;;;;;;;;
airass;airass;Arcade;;;;;;;;;;;;;;
airattck;airattck;Arcade;;;;;;;;;;;;;;
airbustr;airbustr;Arcade;;;;;;;;;;;;;;
airduel;airduel;Arcade;;;;;;;;;;;;;;
ajax;ajax;Arcade;;;;;;;;;;;;;;
alcon;alcon;Arcade;;;;;;;;;;;;;;
alexkidd;alexkidd;Arcade;;;;;;;;;;;;;;
aliencha;aliencha;Arcade;;;;;;;;;;;;;;
aliens;aliens;Arcade;;;;;;;;;;;;;;
aliensec;aliensec;Arcade;;;;;;;;;;;;;;
aliensyn;aliensyn;Arcade;;;;;;;;;;;;;;
alpine;alpine;Arcade;;;;;;;;;;;;;;
altbeast;altbeast;Arcade;;;;;;;;;;;;;;
amazon;amazon;Arcade;;;;;;;;;;;;;;
amidar;amidar;Arcade;;;;;;;;;;;;;;
anteater;anteater;Arcade;;;;;;;;;;;;;;
aquajack;aquajack;Arcade;;;;;;;;;;;;;;
arabian;arabian;Arcade;;;;;;;;;;;;;;
arabianm;arabianm;Arcade;;;;;;;;;;;;;;
arcadian;arcadian;Arcade;;;;;;;;;;;;;;
archrivl;archrivl;Arcade;;;;;;;;;;;;;;
argus;argus;Arcade;;;;;;;;;;;;;;
arkanoid;arkanoid;Arcade;;;;;;;;;;;;;;
arkarea;arkarea;Arcade;;;;;;;;;;;;;;
arknoid2;arknoid2;Arcade;;;;;;;;;;;;;;
armedf;armedf;Arcade;;;;;;;;;;;;;;
armorcar;armorcar;Arcade;;;;;;;;;;;;;;
armwar;armwar;Arcade;;;;;;;;;;;;;;
armwrest;armwrest;Arcade;;;;;;;;;;;;;;
ashura;ashura;Arcade;;;;;;;;;;;;;;
aso;aso;Arcade;;;;;;;;;;;;;;
assault;assault;Arcade;;;;;;;;;;;;;;
astdelux;astdelux;Arcade;;;;;;;;;;;;;;
asterix;asterix;Arcade;;;;;;;;;;;;;;
asteroid;asteroid;Arcade;;;;;;;;;;;;;;
astorm;astorm;Arcade;;;;;;;;;;;;;;
astrob;astrob;Arcade;;;;;;;;;;;;;;
astrof;astrof;Arcade;;;;;;;;;;;;;;
astyanax;astyanax;Arcade;;;;;;;;;;;;;;
asuka;asuka;Arcade;;;;;;;;;;;;;;
asurabld;asurabld;Arcade;;;;;;;;;;;;;;
asurabus;asurabus;Arcade;;;;;;;;;;;;;;
asylum;asylum;Arcade;;;;;;;;;;;;;;
atetris;atetris;Arcade;;;;;;;;;;;;;;
aurail;aurail;Arcade;;;;;;;;;;;;;;
avengers;avengers;Arcade;;;;;;;;;;;;;;
avsp;avsp;Arcade;;;;;;;;;;;;;;
avspirit;avspirit;Arcade;;;;;;;;;;;;;;
backfirt;backfirt;Arcade;;;;;;;;;;;;;;
baddudes;baddudes;Arcade;;;;;;;;;;;;;;
bagman;bagman;Arcade;;;;;;;;;;;;;;
bakutotu;bakutotu;Arcade;;;;;;;;;;;;;;
balonfgt;balonfgt;Arcade;;;;;;;;;;;;;;
baluba;baluba;Arcade;;;;;;;;;;;;;;
bankp;bankp;Arcade;;;;;;;;;;;;;;
baryon;baryon;Arcade;;;;;;;;;;;;;;
batcir;batcir;Arcade;;;;;;;;;;;;;;
batman;batman;Arcade;;;;;;;;;;;;;;
batrider;batrider;Arcade;;;;;;;;;;;;;;
batsugun;batsugun;Arcade;;;;;;;;;;;;;;
battlane;battlane;Arcade;;;;;;;;;;;;;;
battlera;battlera;Arcade;;;;;;;;;;;;;;
battlnts;battlnts;Arcade;;;;;;;;;;;;;;
battroad;battroad;Arcade;;;;;;;;;;;;;;
bayroute;bayroute;Arcade;;;;;;;;;;;;;;
bbakraid;bbakraid;Arcade;;;;;;;;;;;;;;
bbmanw;bbmanw;Arcade;;;;;;;;;;;;;;
bchopper;bchopper;Arcade;;;;;;;;;;;;;;
beathead;beathead;Arcade;;;;;;;;;;;;;;
beezer;beezer;Arcade;;;;;;;;;;;;;;
benberob;benberob;Arcade;;;;;;;;;;;;;;
berlwall;berlwall;Arcade;;;;;;;;;;;;;;
bermudat;bermudat;Arcade;;;;;;;;;;;;;;
bestbest;bestbest;Arcade;;;;;;;;;;;;;;
bgaregga;bgaregga;Arcade;;;;;;;;;;;;;;
